-15156,-2537,1507,4921,-85
-13640,-2361,3359,4911,-33
-13672,-2069,5495,5070,-27
-13488,-2181,6931,4825,-18
-11568,-2569,8423,4858,-16
-10868,-2537,10871,4918,-12
-10100,-1969,12351,5116,-12
-8960,-2481,11571,4971,-10
-7288,-2293,14143,4964,-9
-4568,-2481,15019,4872,-11
-3608,-2413,15203,5079,-8
-3052,-2605,15351,4894,-8
-808,-1817,16419,4870,-8
1483,-2081,16207,5075,-8
3167,-1765,15963,4910,-5
4383,-2285,16467,4902,-7
5795,-1733,15239,4985,-7
9199,-2009,14059,4907,-9
8707,-1841,13531,4885,-5
10719,-1017,13419,5025,-5
12787,-1637,12523,4946,-8
13743,-989,10407,4878,-4
15635,-989,9103,4762,-5
15347,-1001,8143,4823,-12
17003,-1173,4715,4853,-8
18715,-561,3251,4649,-11
18279,-941,2555,4874,-20
18579,-561,575,4853,-30
18179,-321,-1632,4730,-171
17155,-733,-3212,4770,-153
18775,-197,-3952,5157,-170
16843,-537,-5840,4861,-176
15659,-113,-7528,4819,174
16043,50,-9804,4817,-175
15451,-501,-12004,4933,-178
12591,-237,-12608,4915,-179
11383,-333,-14084,4845,-177
10811,-365,-15188,4945,-178
8987,-461,-15160,4714,-178
7619,-109,-15560,4933,-179
4891,386,-17000,4954,177
2779,-497,-17160,4778,-177
2347,-1081,-17052,4824,-178
267,-685,-17596,5029,-179
-2432,-805,-17044,4971,-177
-3780,-1049,-15748,4684,-175
-4144,-1109,-15672,5087,-176
-7268,-1165,-14908,4857,-175
-8696,-1265,-13044,4767,-174
-9428,-1425,-12436,5055,-173
-11456,-1225,-11588,5016,-171
-12036,-1141,-7800,5098,-171
-13056,-1665,-8204,4614,-166
-13496,-1537,-6196,4844,-165
-14460,-1541,-4096,4942,-161
-14684,-2057,-2372,4856,-142
-14140,-2093,-2560,4844,-122
-14876,-2193,1591,4976,-86
-14888,-2149,2707,5036,-39
-14216,-1941,4059,4871,-30
-13192,-2161,7367,4834,-14
-11956,-2181,8407,4856,-17
-11844,-2329,9307,5004,-14
-10816,-2621,10939,4934,-12
-10228,-2577,12327,4719,-15
-6540,-2205,12311,5024,-11
-7356,-3013,14331,4614,-10
-5252,-2737,14635,4788,-9
-2576,-2577,15567,4628,-7
-3056,-2681,15491,4681,-8
623,-1793,16415,4984,-8
3079,-2429,16155,4935,-9
3075,-2025,15875,4790,-7
5475,-2033,16219,4993,-7
6787,-1993,15087,4941,-9
8443,-2373,15103,4846,-7
10235,-889,13647,4993,-7
10887,-1477,12211,4694,-3
13011,-1441,12127,4743,-6
14099,-1473,10703,4698,-7
15771,-433,8215,4865,-4
16011,-1397,7335,4766,-9
16163,-633,5435,4864,-7
17431,-245,3123,4724,1
18115,-209,2855,4664,-15
18147,-597,455,4664,-21
18799,-13,-2836,4586,172
17743,-505,-3716,4519,-172
18339,-977,-5036,4993,-164
17111,-77,-6644,4767,-173
16283,422,-8968,4921,-179
15939,-201,-9764,4727,-177
14447,-65,-10756,4627,-178
13263,-205,-12448,4996,-178
12035,642,-13448,4820,179
10943,74,-14544,4775,-177
9527,-465,-15160,4953,178
